,object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target,maxsigma,fracmaxsigma,undersigma,fracunder,ls_frequency,ls_power,micro_t0,micro_te,micro_wings,micro_chi2,n_datapoints,stds,median,median_err,microbase,microamp
24,4171,2.097458,-45.783966,324.73784,-69.478613,1,0.0,0.0,0.0,,0.011000000000000001,16,3.500330064712562,0.002849002849002849,-38.175535482668096,0.07977207977207977,0.34262380725917124,0.21235477958965263,65607.74544766013,95.4248157684423,0.9511822021928279,19967.584200150362,351.0,[ 2.36668167 12.85301769 17.52497069 10.22202651  7.24318766 20.16588979],[ 0.637967   7.994956  10.064127   7.3089065  4.494715   1.803225 ],[1.997268  1.3116275 1.168619  1.722722  2.3816555 5.456004 ],"[  0.77554161 -12.51598068 -19.85015283  -1.63414642   5.28815533
   5.77071949]","[       0.         55080485.91001651 78233987.16856527 20860821.89032143
        0.                0.        ]"
25,4173,152.050781,3.2843690000000003,237.15737400000003,44.318466,1,0.5149,0.5512,0.0221,42.5158,0.019,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
26,4220,358.648071,-46.37508,329.462659,-67.716008,1,0.1197,0.1322,0.3351,38.9679,0.009000000000000001,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
27,4389,151.699219,3.583322,236.53322400000002,44.205648,1,0.2333,0.2205,0.9667,40.1939,0.016,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
28,4595,349.615387,-63.636005000000004,318.92724599999997,-50.506541999999996,1,0.5919,0.5995,0.0127,42.737,0.018000000000000002,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
29,4819,35.332031,-5.979157,172.286722,-59.931743000000004,1,0.3053,0.287,0.0076,40.8445,0.022000000000000002,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
30,5527,347.861847,-61.943836,321.519104,-51.424048,1,0.1315,0.2487,0.8604,40.4896,0.017,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
31,6180,33.222656,-4.7801919999999996,167.51565300000001,-60.396584,1,0.3201,0.2685,0.5211,40.6793,0.018000000000000002,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
32,6266,0.929752,-44.597992,328.53142599999995,-70.083244,1,0.0,0.0,0.0,,0.011000000000000001,65,62.12965615213511,0.045584045584045586,-2.838060817593041,0.0,1.966602085495462,0.061429753195961244,60590.754830404505,0.00029880629772772636,2.7151864526583367,5040.8704918489075,351.0,[ 7.19839333  4.91698175  2.06306049 17.49429751  7.89908493  8.46234216],[-0.1739635  0.2289715  0.3008475 -0.353917  -0.0036825  0.127464 ],[1.884593  1.0484155 1.048285  1.7655205 2.525698  5.754979 ],[ 0.64183745  0.69120921  0.33084495  1.40682087 -0.10877465 -0.34166588],"[0.00000000e+00 4.25091148e+15 1.62025846e+15 6.87664547e+15
 5.46063481e+15 4.19675729e+15]"
33,6762,348.595886,-63.07261999999999,320.02328900000003,-50.71306,1,0.3863,0.3983,0.0132,41.6735,0.021,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
34,6947,34.277344,-5.67919,170.31493,-60.410322,1,0.568,0.5667,0.0181,42.5888,0.02,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
35,7033,52.207031,-28.29155,224.208534,-55.30015699999999,1,0.0826,0.085,0.0073,37.9414,0.006999999999999999,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
36,7164,347.861847,-61.943836,321.519104,-51.424048,1,0.4299,0.4245,0.0288,41.8371,0.017,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
37,7315,2.07113,-45.191612,325.606223,-69.989264,1,0.133,0.1337,0.0171,38.9942,0.011000000000000001,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
38,7409,352.398651,-62.696659,318.017427,-51.967966,1,3.4451,0.5176,1.2609,42.3516,0.02,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
39,7566,359.44671600000004,-44.20153,331.730015,-69.805709,1,0.0,0.0,0.0,,0.01,16,4.119699489336485,0.014245014245014245,-25.72155660984866,0.07122507122507123,2.6715286058666385,0.19888543525122196,60213.56446628582,105.40742698759364,0.024138460863001934,12250.645039733667,351.0,[ 2.72758657 10.07320695 14.40460301  9.03058652  7.28921407 10.07654588],[-0.3163795  0.2367315 -0.443427   0.043862  -0.222451  -0.348019 ],[1.9853785 1.310108  1.165969  1.7200515 2.3785425 5.448286 ],"[-6.09140520e-01 -4.13328025e+00 -7.40945995e+00 -3.19263948e+00
 -2.34737190e+00  5.85432923e-03]",[0.70072271 5.83005588 9.77308774 4.14147059 3.27081662 1.63729381]
40,7698,347.013428,-62.508568000000004,321.472056,-50.73533,1,0.2628,0.1876,0.0216,39.8011,0.018000000000000002,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
41,7703,53.085938,-28.122234000000002,224.10090899999997,-54.509752,1,0.083,0.082,0.2257,37.8568,0.006999999999999999,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
42,7756,149.414062,2.238686,236.239766,41.565558,1,0.0,0.0,0.0,,0.017,16,2.5165796637981788,0.0,-105.2891622953591,0.043137254901960784,8.821212001369512,0.05372442619442736,65083.42239692676,106.39886681839138,0.9539149323506344,32571.8905152843,255.0,[ 7.60187233 68.44816636 20.05403536 15.81230733 18.13925554 15.20334713],[-0.4139955  0.904328  -0.290933   0.064994   0.080629   1.30465  ],[2.813368 2.694493 2.063954 2.394992 2.962212 6.039691],"[ -2.35546418 -25.02794802 -11.721183    -5.37767759  -3.96534258
  -1.81122769]","[ 1867903.92122865 17612913.18844342 14649653.80528301  3721280.59912939
        0.          2083504.965392  ]"
43,8328,1.694561,-45.191612,326.278557,-69.858253,1,0.3779,0.4808,0.297,42.1592,0.011000000000000001,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
44,8688,32.695312,-4.929937000000001,166.868469,-60.84123,1,0.0,0.0,0.0,,0.018000000000000002,65,133.2673331429074,0.09090909090909091,-2.051919074178517,0.0,13.18446955567495,0.024228463263089507,60183.73133777926,0.0005007161731019503,0.5621618808825364,20727.010883858795,330.0,"[109.10961689   8.80008631   5.27456301   7.85901258  15.98274064
 140.85530818]",[ 0.5304205  0.5883615  0.60807   -0.0218535 -0.806827   2.259285 ],[2.1416555 1.3304145 1.443275  2.8355315 4.218833  9.785359 ],[ 5.44159841  3.52635576  1.58950274  2.32577722  0.23390218 10.910571  ],"[2.04876938e+16 6.87113979e+11 6.76265546e+11 5.22210304e+12
 3.82541155e+13 3.14720169e+14]"
45,8745,349.966217,-62.696659,319.54298900000003,-51.376556,1,0.6276,0.6136,0.0129,42.7983,0.021,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
46,8784,34.101562,-5.829153,170.247753,-60.638325,1,0.0,0.0,0.0,,0.019,16,59.47444419485526,0.4090909090909091,-6.835255659456788,0.02727272727272727,1.7817040670706905,0.5946369277975825,92064.38267224052,162.79365864145967,1.5079348929354432,363492.7187428818,330.0,"[ 79.28273375 573.80824793 735.19892412 442.71079008 316.30090391
 166.20260009]",[  1.827051  -44.3571455 -63.4407965 -91.2752075 -69.022179  -31.036337 ],[12.1686295 14.728823  11.2621865 10.9017965  9.164742  11.593268 ],"[  -44.87283299 -6905.50804439 -7716.17044396 -6300.07890865
 -5696.86697999 -1810.93870786]","[3.46917855e+12 7.91730908e+14 8.83497505e+14 7.23205336e+14
 6.50758431e+14 2.03815613e+14]"
47,9006,34.277344,-5.079716,169.526841,-59.95664,1,0.0,0.0,0.0,,0.019,65,10.40177820749958,0.015151515151515152,-2.388455387210223,0.0,2.704119187839031,0.0658257970878468,60621.84082390109,1.9678588475680712,0.3346099458620506,481.6590159215025,330.0,[ 2.10421631  1.84809548  1.718604    3.46881917  3.1480964  10.49777813],[-0.31138   0.014746  0.051724  0.260378 -0.219373 -0.564874],[2.029664  1.172907  1.1702525 1.9704705 2.899414  6.854712 ],[-0.19839053  0.10619513  0.1286493   0.64281553  0.28104914 -0.69289815],[ 0.          0.80894419  0.96410337  0.87710248  4.93809315 61.84557343]
48,9172,346.65518199999997,-63.260487,320.952196,-50.040935,1,0.0,0.0,0.0,,0.019,65,128.15806324584997,0.011363636363636364,-1.9577493475196532,0.0,1.002643311558848,0.13782327223688268,60237.02677383128,0.00010252020078481621,1.5657111124076062,297.05572619665645,352.0,[ 1.8520808   6.98413153 23.26617612  3.11428547  2.37916712  5.96718086],[ 0.269609   0.289508   0.1593625  0.28451   -0.096121  -0.650209 ],[2.106833  1.2891415 1.3012935 1.867706  2.6505265 6.184266 ],[0.15173063 0.05954672 0.03883837 0.1399732  0.24275566 0.94390392],"[2.84825079e+15 1.09724055e+14 3.18906701e+14 4.48484704e+13
 1.32642221e+13 0.00000000e+00]"
49,9184,0.949367,-45.586655,326.991548,-69.25168599999999,1,1.4031,1.2719,0.4971,44.7463,0.013000000000000001,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
50,9203,51.855469,-27.953188,223.543603,-55.56146999999999,1,0.2138,0.1111,0.0626,38.5591,0.008,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
51,9543,352.132874,-63.636005000000004,317.424173,-51.095855,1,0.0,0.0,0.0,,0.021,65,35.47061155367287,0.017045454545454544,-2.7831356884838736,0.0,8.792613056015835,0.07086978872383096,59876.54531981607,0.002617436892363126,0.938377144507021,378.9207898841089,352.0,[3.28558331 2.29303714 4.32333358 1.78646791 3.66473817 7.54364458],[-0.108171  -0.089817   0.0241695  0.301621  -0.5354225  1.074544 ],[2.165691  1.334213  1.2888125 2.144227  3.170375  7.490007 ],[-0.02843132 -0.15390277 -0.17524089  0.47445085 -0.28718907  1.94553636],"[9.87423327e+08 4.23977866e+12 3.46749481e+13 0.00000000e+00
 0.00000000e+00 6.03932908e+12]"
52,9936,32.871094,-4.7801919999999996,166.95949299999998,-60.615131999999996,1,0.1633,0.0719,0.0389,37.558,0.017,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
53,9985,150.820312,3.7328339999999995,235.66631800000002,43.572109000000005,1,0.0,0.0,0.0,,0.016,65,195.7229746266029,0.07058823529411765,-2.9856313861138295,0.0,0.37477075566561713,0.01298480530825621,60344.979607481,0.0028106744759883967,1.5051684181800988,1182.7420368893856,255.0,"[ 61.63742079 223.57307688 258.56978066 194.35322086 151.28826661
 114.81732941]",[-1.513687 -1.551435 -1.597823 -1.731317 -1.841624 -3.119486],[1.981773 1.445865 1.581723 2.833516 4.121225 9.144418],[-0.83885378 -0.92506003  0.53646311 -2.22092076 -1.929756   -3.92099861],"[5.99362391e+17 3.31543788e+09 3.19617610e+09 3.42178084e+09
 3.36506591e+09 3.18393557e+09]"
54,10321,358.3125,-44.993881,332.185785,-68.685906,1,1.0833,1.1162,0.102,44.3954,0.009000000000000001,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
55,10337,54.66796899999999,-27.615883,223.61078500000002,-53.05084,1,0.683,0.6725,0.0089,43.0404,0.009000000000000001,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.]
